2022-08-17 11:02:04.622 -04:00 [DBG] <discover> Refresh requested on schemas: [{"Id":"Contact","Name":"Contact","Description":"","Properties":[],"Count":null,"Sample":[],"Query":"","PublisherMetaJson":"","Errors":[],"DataFlowDirection":0}]
2022-08-17 11:11:38.913 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:11:33.8997218Z
2022-08-17 11:11:38.914 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:11:38.9136343Z
2022-08-17 11:11:43.913 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:11:38.9136343Z
2022-08-17 11:11:43.917 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:11:43.9140220Z
2022-08-17 11:11:48.920 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:11:43.9140220Z
2022-08-17 11:11:48.920 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:11:48.9200766Z
2022-08-17 11:11:53.927 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:11:48.9200766Z
2022-08-17 11:11:53.927 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:11:53.9272944Z
2022-08-17 11:11:58.948 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:11:53.9272944Z
2022-08-17 11:11:58.949 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:11:58.9486665Z
2022-08-17 11:12:03.961 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:11:58.9486665Z
2022-08-17 11:12:03.961 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:12:03.9610902Z
2022-08-17 11:12:08.974 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:12:03.9610902Z
2022-08-17 11:12:08.975 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:12:08.9749392Z
2022-08-17 11:12:13.991 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:12:08.9749392Z
2022-08-17 11:12:13.992 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:12:13.9917651Z
2022-08-17 11:12:19.012 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:12:13.9917651Z
2022-08-17 11:12:19.012 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:12:19.0121151Z
2022-08-17 11:12:24.019 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:12:19.0121151Z
2022-08-17 11:12:24.020 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:12:24.0201488Z
2022-08-17 11:12:29.027 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:12:24.0201488Z
2022-08-17 11:12:29.028 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:12:29.0280042Z
2022-08-17 11:12:34.046 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:12:29.0280042Z
2022-08-17 11:12:34.046 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:12:34.0464705Z
2022-08-17 11:12:39.053 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:12:34.0464705Z
2022-08-17 11:12:39.053 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:12:39.0534720Z
2022-08-17 11:12:44.057 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:12:39.0534720Z
2022-08-17 11:12:44.057 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:12:44.0570938Z
2022-08-17 11:12:49.062 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:12:44.0570938Z
2022-08-17 11:12:49.063 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:12:49.0628886Z
2022-08-17 11:12:54.078 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:12:49.0628886Z
2022-08-17 11:12:54.079 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:12:54.0787996Z
2022-08-17 11:12:59.086 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:12:54.0787996Z
2022-08-17 11:12:59.087 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:12:59.0868935Z
2022-08-17 11:13:04.103 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:12:59.0868935Z
2022-08-17 11:13:04.103 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:13:04.1031994Z
2022-08-17 11:13:09.115 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:13:04.1031994Z
2022-08-17 11:13:09.115 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:13:09.1150891Z
2022-08-17 11:13:14.118 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:13:09.1150891Z
2022-08-17 11:13:14.118 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:13:14.1183883Z
2022-08-17 11:13:19.130 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:13:14.1183883Z
2022-08-17 11:13:19.130 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:13:19.1301199Z
2022-08-17 11:13:24.154 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:13:19.1301199Z
2022-08-17 11:13:24.154 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:13:24.1541410Z
2022-08-17 11:13:29.160 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:13:24.1541410Z
2022-08-17 11:13:29.160 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:13:29.1605525Z
2022-08-17 11:13:34.175 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:13:29.1605525Z
2022-08-17 11:13:34.176 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:13:34.1755091Z
2022-08-17 11:13:39.188 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:13:34.1755091Z
2022-08-17 11:13:39.194 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:13:39.1887077Z
2022-08-17 11:13:44.197 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:13:39.1887077Z
2022-08-17 11:13:44.198 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:13:44.1978804Z
2022-08-17 11:13:49.219 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:13:44.1978804Z
2022-08-17 11:13:49.219 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:13:49.2192320Z
2022-08-17 11:13:54.227 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:13:49.2192320Z
2022-08-17 11:13:54.227 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:13:54.2271221Z
